subjectClass,subectClassLabel,relationship,relationshipLabel,objectClass,objectClassLabel
http://purl.unep.org/sdg/SDGIO_00000060,,http://purl.obolibrary.org/obo/RO_0000053,bearer of,http://purl.unep.org/sdg/SDGIO_00000054,own-account worker role
http://purl.obolibrary.org/obo/FOODON_03302158,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03316535,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302169,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302279,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00010010,,http://purl.obolibrary.org/obo/BFO_0000054,realized in,http://purl.unep.org/sdg/SDGIO_00010001,education process
http://purl.obolibrary.org/obo/FOODON_03301776,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/ENVO_00002297,,http://purl.obolibrary.org/obo/RO_0002508,determines,http://purl.obolibrary.org/obo/ENVO_01000254,environmental system
http://purl.obolibrary.org/obo/FOODON_03310960,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03306175,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03306175,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00000054,,http://purl.obolibrary.org/obo/RO_0000052,inheres in,http://purl.obolibrary.org/obo/NCBITaxon_9606,Homo sapiens
http://purl.obolibrary.org/obo/FOODON_03315115,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03307414,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00000016,,http://purl.obolibrary.org/obo/RO_0002427,causally downstream of or within,http://purl.obolibrary.org/obo/ENVO_01000707,coastal flooding
http://purl.obolibrary.org/obo/FOODON_03307130,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302269,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/ENVO_01000804,,http://purl.obolibrary.org/obo/RO_0002219,surrounded by,http://purl.obolibrary.org/obo/ENVO_01000637,outer space
http://purl.obolibrary.org/obo/FOODON_03306024,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03306024,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/ENVO_01001002,,http://purl.obolibrary.org/obo/RO_0002507,determined by,http://purl.obolibrary.org/obo/NCBITaxon_33208,Metazoa
http://purl.unep.org/sdg/SDGIO_00000062,,http://purl.obolibrary.org/obo/RO_0000053,bearer of,http://purl.unep.org/sdg/SDGIO_00010003,employer role
http://purl.obolibrary.org/obo/FOODON_03304473,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302565,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302565,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302396,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03307130,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03309550,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03301926,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00000025,,http://purl.obolibrary.org/obo/RO_0000086,has quality,http://purl.unep.org/sdg/SDGIO_00010041,affordable
http://purl.obolibrary.org/obo/FOODON_03311152,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03303847,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/OBI_0001173,,http://purl.obolibrary.org/obo/BFO_0000051,has part,http://purl.obolibrary.org/obo/OBI_0000011,planned process
http://purl.obolibrary.org/obo/FOODON_03303634,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03304066,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03305563,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03305563,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/ENVO_01000813,,http://purl.obolibrary.org/obo/BFO_0000050,part of,http://purl.obolibrary.org/obo/ENVO_01000799,astronomical body
http://purl.obolibrary.org/obo/FOODON_03302223,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03309550,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/OBI_0200000,,http://purl.obolibrary.org/obo/OBI_0000299,has_specified_output,http://purl.obolibrary.org/obo/IAO_0000027,data item
http://purl.obolibrary.org/obo/FOODON_03301869,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03301869,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/OBI_0000066,,http://purl.obolibrary.org/obo/BFO_0000051,has part,http://purl.obolibrary.org/obo/OBI_0000338,drawing a conclusion based on data
http://purl.obolibrary.org/obo/FOODON_03303716,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03303716,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/OBI_0000659,,http://purl.obolibrary.org/obo/OBI_0000293,has_specified_input,http://purl.obolibrary.org/obo/BFO_0000040,material entity
http://purl.obolibrary.org/obo/FOODON_03301776,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/IAO_0000033,,http://purl.obolibrary.org/obo/IAO_0000136,is about,http://purl.obolibrary.org/obo/BFO_0000017,realizable entity
http://purl.obolibrary.org/obo/FOODON_03316114,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03306983,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03301047,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03316535,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400112,nonalcoholic beverage (us cfr)
http://purl.obolibrary.org/obo/FOODON_03303634,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03303716,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
